sku,vendor_name,vendor_code,collection,fabric,colour_code,seq,title,description,image_url,price,cost,qty,shopify_status,product_type,handle
HDR-VINT-SBS-MGT-579,HDR,HDR,VINT,SBS,MGT,579.0,TARALA (ತರಳ),"A stunning dark magenta semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a bottle green striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03522.jpg,3199.00,1200.00,1,draft,SAREES,34-2
KS-VINCHX-COT-GRN-578,KS,KS,VINCHX,COT,GRN,578.0,VILINA (വില്ലിന),An exclusive saree designed by Nerige Story - A beautiful green chequered cotton saree with a contrasting magenta pallu. The saree has a small gold zari double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03501.jpg,1899.00,600.00,0,active,SAREES,32-2
HDR-VINT-SBS-MST-577,HDR,HDR,VINT,SBS,MST,577.0,LAJITA (ಲಜಿತಾ),A stunning dark mustard semi Bangalore silk saree with a purple border and a double rudraksham gold zari border. The saree has a purple striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03475.jpg,3499.00,1200.00,0,active,SAREES,31-3
KS-VINCHX-COT-NVY-576,KS,KS,VINCHX,COT,NVY,576.0,VINANTI (వినంతి),An exclusive saree designed by Nerige Story - A stunning navy blue chequered cotton saree with a contrasting pink pallu. The saree has a small gold zari double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03450.jpg,1899.00,600.00,0,draft,SAREES,29-2
KS-VINT-XX-PUR-575,KS,KS,VINT,XX,PUR,575.0,SUMANA (ಸುಮನಾ),An exclusive saree designed by Nerige Story - A stunning purple chequered cotton saree with a contrasting magenta pallu. The saree has a small gold zari double rudraksham border. The pallu has simple gold zari lines on it. This one is a classic!,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03424.jpg,1899.00,600.00,0,draft,SAREES,27-1
KS-VINCHX-COT-PNK-574,KS,KS,VINCHX,COT,PNK,574.0,NAYAN ( நயன்),A gorgeous dual-shaded pink and orange chequered cotton saree with a small gold zari border double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03291.jpg,1899.00,600.00,2,active,SAREES,19-2
KS-VINCHX-COT-MRN-573,KS,KS,VINCHX,COT,MRN,573.0,IHA (ഇഹ),An exclusive saree designed by Nerige Story - A stunning dark maroon chequered cotton saree with a contrasting purple pallu. The saree has a small gold zari double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03260.jpg,1899.00,600.00,0,draft,SAREES,17-2
KS-VINCHX-COT-ORG-572,KS,KS,VINCHX,COT,ORG,572.0,AHALYA (அஹல்யா),A gorgeous orange chequered cotton saree with a small gold zari border double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03198.jpg,1899.00,600.00,3,active,SAREES,13-2
KS-VINT-XX-BLK-571,KS,KS,VINT,XX,BLK,571.0,LILA (லீலா),A gorgeous black chequered cotton saree with a small gold zari border double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03123.jpg,1899.00,600.00,0,draft,SAREES,9-1
HDR-VINT-SBS-GRN-570,HDR,HDR,VINT,SBS,GRN,570.0,REVATHY(ರೇವತಿ),A stunning beige semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has bottle green striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02448.jpg,3499.00,1200.00,6,active,SAREES,revathyreevti
